ข้อที่,คำถาม,1,2,3,4,เฉลย,เฉลย,เฉลย
70,ข้อใดคือกฏกติกาที่ถูกต้องของกีฬาฟุตซอล,จะมีผู้เล่นทั้งสองทีม ทีมละไม่เกิน 5 คนอยู่บนสนาม และหนึ่งใน 5 คนนี้ ต้องเป็นผู้รักษาประตู,อนุญาติให้มีผู้เล่นสำรองไม่เกิน 7 คน,อนุญาให้เปลี่ยนตัวผู้เล่นเมื่อไหร่ก็ได้ไม่จำกัดจำนวน สามารถเปลี่ยนตัวได้ตลอดเวลา,ถูกทุกข้อ,4,ถูกทุกข้อคือกฏกติกาที่ถูกต้องของกีฬาฟุตซอล,ตอบ 4. ถูกทุกข้อคือกฏกติกาที่ถูกต้องของกีฬาฟุตซอล
71,ข้อใดคือขนาดถูกต้องของสนามฟุตซอล,"สนามแข่งขันต้องเป็นรูปสี่เหลี่ยมผืนผ้า กว้างประมาณ 100-130 หลา ส่วนด้านกว้าง กว้าง
ประมาณ 50 - 100 หลา โดยแบ่งเขตแดนออกเป็น 2 ฝั่ง อย่างละเท่าๆ กัน มีประตูขนาดกว้าง
8 หลา สูง 8 ฟุต มีเขตโทษซึ่งนับห่างจากโกล ห่าง 18 หลา","สนามแข่งขันต้องเป็นรูปสี่เหลี่ยมผืนผ้า ความยาวเส้นข้างต้องยาวกว่าความยาวเส้นประตู
โดยสนามมีความยาวต่ำสุด 25 เมตร สูงสุด 42 เมตร ความกว้างต่ำสุด 15 เมตร สูงสุด 25 เมตร","สนามเป็นรูปสีเหลี่ยมผืนผ้า กว้าง 16 เมตร (เส้นหลัง) ยาว 32 เมตร (เส้นข้าง) สนามแบ่งเป็น
สองส่วนเท่าๆกัน ด้วยเส้นแบ่งแดน ขนาดสนามนี้จะเปลี่ยนแปลงได้ตามความเหมาะสม โดยมี
บริเวณเขตรอบสนามอย่างน้อย 1 เมตร ถ้าเป็นสนามในร่ม ความสูงจากพื้นสนามขึ้นไปไม่ควร
น้อยกว่า 6 เมตร","ขนาดสี่เหลี่ยมผืนผ้า ยาว 40 เมตร กว้าง 20 เมตร มีเส้นรอบสนามและเขตประตู โดยประตูจะต้อง
มีขนาดสูง 2 เมตร กว้าง 3 เมตร ตั้งอยู่ทั้งสองฝั่ง มีพื้นที่รอบสนามห่างจากเส้นขอบสนามอย่างน้อย
 1 เมตร  ห่างจากหลังประตู 2 เมตร",2,ขนาดที่ถูกต้องของสนามฟุตซอลคือ ข้อ2,ตอบ 2. ขนาดที่ถูกต้องของสนามฟุตซอลคือ ข้อ2
72,ข้อใดคือกฏกติการที่ถูกต้องของการแข่งขันกีฬาฟุตบอล,มีจำนวนฝั่งละ 11 คน โดยที่เป็นผู้รักษาประตู 1 คน,มีจำนวนฝั่งละ 12 คน โดยที่เป็นผู้รักษาประตู 1 คน,มีจำนวนฝั่งละ 12 คน โดยที่เป็นผู้รักษาประตู 1 คน,มีจำนวนฝั่งละ 14 คน โดยที่เป็นผู้รักษาประตู 1 คน,1,กฏกติกาที่ถูกต้องของการแข่งขันกีฬาฟุตบอลคือ ต้องมีผู้เล่นฝั่งละ 11 คน โดยมีผู้รักษาประตู 1 คน,ตอบ 1. กฏกติกาที่ถูกต้องของการแข่งขันกีฬาฟุตบอลคือ ต้องมีผู้เล่นฝั่งละ 11 คน โดยมีผู้รักษาประตู 1 คน
73,ลูกฟุตบอลลูกใด เป็นลูกฟุตบอลที่ได้มาตรฐาน,ขนาดเส้นรอบวงไม่เกิน 16 -18 นิ้ว และหนัก 300 - 350 กรัม,ขนาดเส้นรอบวงไม่เกิน 20 -22 นิ้ว และหนัก 400 - 450 กรัม,ขนาดเส้นรอบวงไม่เกิน 24 -26 นิ้ว และหนัก 300 - 550 กรัม,ขนาดเส้นรอบวงไม่เกิน 17 -28 นิ้ว และหนัก 400 -450 กรัม,4,ลูกฟุตบอลที่ได้มาตรฐาน ต้องมีเส้นรอบวงไม่เกิน 27 - 28 นิ้ว และหนัก 400-450 กรัม,ตอบ 4. ลูกฟุตบอลที่ได้มาตรฐาน ต้องมีเส้นรอบวงไม่เกิน 27 - 28 นิ้ว และหนัก 400-450 กรัม
74,ข้อใดคือลูกเซปักตะกร้อที่ถูกต้อง,ขนาดเส้นผ่าศูนย์กลาง 30 - 35 เซนติเมตร มีรูอยู่ตรงลูกตะกร้อรวม 10 รู มีจุดตัดจุดไขว้ 18 จุด,ขนาดเส้นผ่าศูนย์กลาง 42- 45 เซนติเมตร มีรูอยู่ตรงลูกตะกร้อรวม 12 รู มีจุดตัดจุดไขว้ 20 จุด,ขนาดเส้นผ่าศูนย์กลาง 50 - 52 เซนติเมตร มีรูอยู่ตรงลูกตะกร้อรวม 14 รู มีจุดตัดจุดไขว้ 22 จุด,ขนาดเส้นผ่าศูนย์กลาง 60 - 62 เซนติเมตร มีรูอยู่ตรงลูกตะกร้อรวม 16 รู มีจุดตัดจุดไขว้ 24 จุด,2,ขนาดเส้นผ่าศูนย์กลาง 42 -45 เซนติเมตร มีรูอยู่ตรงลูกตะกร้อรวม 12 รู มีจุดตัดไขว้ 20 จุด,ตอบ 2. ขนาดเส้นผ่าศูนย์กลาง 42 -45 เซนติเมตร มีรูอยู่ตรงลูกตะกร้อรวม 12 รู มีจุดตัดไขว้ 20 จุด
75,ปัญจกรีฑา คือกรีฑาที่ประกอบด้วยการแข่งขันประเภทใดบ้าง,"กระโดดไกล , พุ่งแหลน, วิ่ง 200 เมตร , ขว้างจักร,วิ่ง1,500 เมตร","วิ่ง 100 เมตร,กระโดดไกล,ทุ่มน้ำหนัก,กระโดดสูง,วิ่ง 400 เมตร","วิ่งข้ามรั้ว 110 เมตร, ขว้างจักร, กระโดดค้ำ, พุ่งแหลน, วิ่ง 1,500 เมตร","กระโดดไกล, เขย่งงก้าวกระโดด, ทุ่งลูกน้ำหนัก, ขว้างค้อน, ขว้างจักร",1,"ปัญจกรีฑา คือการแข่งขั้นกรีฑาของเพศชาย ที่ประกอบด้วยการแข่งขัน 5 ประเภท ได้แก่ กระโดดไกล
พุ่งแหลน วิ่ง 200 เมตร  ขว้างจักร และวิ่ง 1,500 เมตร","ตอบ 1. ปัญจกรีฑา คือการแข่งขั้นกรีฑาของเพศชาย ที่ประกอบด้วยการแข่งขัน 5 ประเภท ได้แก่ กระโดดไกล
พุ่งแหลน วิ่ง 200 เมตร  ขว้างจักร และวิ่ง 1,500 เมตร"
76,สันนิษฐานกันว่ากีฬาเปตองเกิดขึ้นครั้งแรกที่ประเทศอะไร, จีน,สหรัฐอเมริกา,กรีซ,อินเดีย,3,"สันนิฐานกันว่า กีฬาเปตองเกิดขึ้นเป็นครั้งแรกที่ประเทศกรีซ เมือประมาณ 2,000 ปีก่อนคริสตกาล 
โดยเก็บก้อนหินที่เป็นทรงกลมจากภูเขาและใต้ทะเลมาเล่น","ตอบ 3. สันนิฐานกันว่า กีฬาเปตองเกิดขึ้นเป็นครั้งแรกที่ประเทศกรีซ เมือประมาณ 2,000 ปีก่อนคริสตกาล 
โดยเก็บก้อนหินที่เป็นทรงกลมจากภูเขาและใต้ทะเลมาเล่น"
77,ข้อใดคือหลักการออกกำลังกายในผู้สูงอายุ,"ไม่เคยออกกำลัง จะต้องศึกษาหลักการให้ถูกต้องและค่อยๆ ทำ อย่าหักโหม ถ้าหากมีโรค
ประจำตัว ต้องปรึกษาแพทย์ก่อน",เลือกชนิดของการออกกำลังให้เหมาะสมกับสภาพร่างกายและถูกกับนิสัย,อย่งแข่งขันกับผู้อื่น เพื่อเอาแพ้เอาชนะ แต่จงออกกำลังกายเพื่อกำลังของตนเอง,ถูกทุกข้อ,4,ทุกข้อต่างก็เป็นการออกกำลังกายในผู้สูงอายุ,ตอบ 4. ทุกข้อต่างก็เป็นการออกกำลังกายในผู้สูงอายุ
78,สันนิษฐานกันว่ากีฬาปิงปองได้เริ่มขึ้นครั้งแรกในประเทศใด,อังกฤษ,จีน,ญี่ปุ่น,สหรัฐอเมริกา,1,กีฬาปิงปองได้เริ่มขึ้นครั้งแรก ในปี ค.ศ. 1890 ที่ประเทศอังกฤษ,ตอบ 1. กีฬาปิงปองได้เริ่มขึ้นครั้งแรก ในปี ค.ศ. 1890 ที่ประเทศอังกฤษ
79,ข้อใดไม่ใช่มารยาทที่ดีของผู้เล่นฟุตบอล,ปฏิบัติตามระเบียบ กฏกติกาการเล่นอย่างเคร่งครัด และยอมรับการตัดสินตลอดการแข่งขัน,"แบบซุบซิบกับเพื่อนร่วมทีมถึงวิธีทำลายสมาธิฝ่ายตรงข้าม ด้วยการเปลี่ยนมาเล่นเกมบุกให้
รวมเร็ว โดยไม่สนใจผู้ตัดสินที่อยู่ข้างๆว่าจะได้ยินหรือไม่",ทีมตนเป็นฝ่ายแพ้  จึงไม่ยอมจับมือกับผู้เล่นฝ่ายตรงข้ามเมื่อเกมจบ,มีใจคอหนักแน่น อดทนอดกลั้น และสามารถควบคุมอารมณ์ของตนเองได้,3,ถึงจะแข่งขันแพ้ ตามมารยาทก็ต้องจับมือ แสดงความมีน้ำใจ,ตอบ 3. ถึงจะแข่งขันแพ้ ตามมารยาทก็ต้องจับมือ แสดงความมีน้ำใจ
80,ข้อใดคือกฏกติกาที่ไม่ถูกต้องของกีฬาแฮนด์บอล,ใช้มือจับ ขว้าง โยน ลูกบอล ส่งต่อกันกับผู้เล่นในทีมตนเอง เพื่อขว้างบอลเข้าประตูฝ่ายตรงข้าม,สามารถใช้ร่างกายส่วนที่ต่ำกว่าหัวเข่าลงไปโดนลูกบอลได้,ผู้เล่นสามารถถือลูกบอลไว้ในมือได้ไม่เกิน 3 วินาที,ขณะถือลูกบอลสามารถก้าวขาได้ไม่เกิน 3 ก้าว,2,ไม่สามารถใช้ร่างกายส่วนที่ต่ำกว่าหัวเข่าลงไปโดนลูกบอลได้,ตอบ 2. ไม่สามารถใช้ร่างกายส่วนที่ต่ำกว่าหัวเข่าลงไปโดนลูกบอลได้
81,"กีฬาที่มี ""ตะกร้าหวาย"" มาใช้ในการแข่งขันด้วย คือกีฬาประเภทใด",แชร์บอล,แฮนด์บอล,อเมริกันฟุตบอล,ฮอกกี้,1,"แชร์บอลเป็นกีฬาที่มีตะกร้าหวายมาใช้ในการแข่งขัน สำหรับตะกร้านั้น สูง 30-35 เซนติเมตร ปากตะกร้า
เป็นรูปทรงกลม มีเส้นผ่าศูนย์กลาง 30-35 เซนติเมตร","ตอบ 1. แชร์บอลเป็นกีฬาที่มีตะกร้าหวายมาใช้ในการแข่งขัน สำหรับตะกร้านั้น สูง 30-35 เซนติเมตร ปากตะกร้า
เป็นรูปทรงกลม มีเส้นผ่าศูนย์กลาง 30-35 เซนติเมตร"
82,ซอคเกอร์ คือชื่อเรียกอีกอย่างของกีฬาประเภทใด,วอลเล่ย์บอล,ฟุตซอล,ฟุตบอล,อเมริกันฟุตบอล,3,"ซอคเกอร์ เป็นคำที่ชาวอเมริกันใช้เรียกกีฬาฟุตบอล ดังนั้นในอเมริกาเมื่อกล่าวถึง ซอคเกอร์นั่นหมายความถึงฟุตบอล
และไม่ใช่อเมริกันฟุตบอล เพราะอเมริกันฟุตบอลเป็นกีฬาอีกประเภทหนึ่ง ซึ่งเป็นที่นิยมของชาวอเมริกัน
","ตอบ 3. ซอคเกอร์ เป็นคำที่ชาวอเมริกันใช้เรียกกีฬาฟุตบอล ดังนั้นในอเมริกาเมื่อกล่าวถึง ซอคเกอร์นั่นหมายความถึงฟุตบอล
และไม่ใช่อเมริกันฟุตบอล เพราะอเมริกันฟุตบอลเป็นกีฬาอีกประเภทหนึ่ง ซึ่งเป็นที่นิยมของชาวอเมริกัน
"
83,จิ้งจอกสยาม คือสมญานามของทีมฟุตบอลใด,การท่าเรือ,บุรีรัมย์ยูไนเต็ด,วิเลอร์พูล,เลสเตอร์ซิตี,4,จิ้งจอกสยาม คือสมญานามของทีมฟุตบอลเลสเตอร์ซิตี,ตอบ 4. จิ้งจอกสยาม คือสมญานามของทีมฟุตบอลเลสเตอร์ซิตี
84,วิชัย ศรีวัฒนประภา  คือเจ้าของฟุตบอลทีมใด,การท่าเรือ,บุรีรัมย์ยูไนเต็ด,วิเลอร์พูล,เลสเตอร์ซิตี,4,วิชัย ศรีวัฒนประภา คือเจ้าของฟุตบอลทีมเลสเตอร์ซิตี,ตอบ 4. วิชัย ศรีวัฒนประภา คือเจ้าของฟุตบอลทีมเลสเตอร์ซิตี
85,ปัจจุบันฟุตบอลทีมชาติไทยอยู่อันดับที่เท่าใดของโลก,อันดับที่ 150,อันดับที่ 130 ,อันดับที่ 135 ,อันดับที่ 120,4,"ปัจจุบันทีมชาติไทยอยู่อันดับที่ 120 ของโลก และอยู่อันดับที่ 1  ของอาเซียน จากกการจัดอันดับโดยฟีฟ่า
 (กุมภาพันธ์ พ.ศ. 2559)","ตอบ 4. ปัจจุบันทีมชาติไทยอยู่อันดับที่ 120 ของโลก และอยู่อันดับที่ 1  ของอาเซียน จากกการจัดอันดับโดยฟีฟ่า
 (กุมภาพันธ์ พ.ศ. 2559)"
86,ฟุตบอลโลกปี พ.ศ. 2018 จัดขึ้นที่ประเทศใด,สเปน,อังกฤษ,รัสเซีย,จาการ์ต้า,3,"ฟุตบอลโลก 2018 (อังกฤษ: 2018 FIFA World Cup) เป็นการแข่งขันฟุตบอลโลก ที่จะจัดขึ้นในปี ค.ศ. 2018
(พ.ศ. 2561) โดยประเทศรัสเซียเป็นเจ้าภาพ นับเป็นการจัดครั้งแรกของรัสเซียและยุโรปตะวันออก และเป็นครั้งแรกที่ประเทศเจ้าภาพคาคเกี่ยวระหว่างสองทวีป คือ ยุโรปกับเอเซีย โดยการประกาศเจ้าภาพอย่างเป็นทางการมีขึ้นในวันที่ 2 ธันวาคม
พ.ศ. 2553 ณ นครซูริก ประเทศสวิตเซอร์แลนด์ พร้อมกับการประกาศประเทศเจ้าภาพ ปี 2022","ตอบ 3. ฟุตบอลโลก 2018 (อังกฤษ: 2018 FIFA World Cup) เป็นการแข่งขันฟุตบอลโลก ที่จะจัดขึ้นในปี ค.ศ. 2018
(พ.ศ. 2561) โดยประเทศรัสเซียเป็นเจ้าภาพ นับเป็นการจัดครั้งแรกของรัสเซียและยุโรปตะวันออก และเป็นครั้งแรกที่ประเทศเจ้าภาพคาคเกี่ยวระหว่างสองทวีป คือ ยุโรปกับเอเซีย โดยการประกาศเจ้าภาพอย่างเป็นทางการมีขึ้นในวันที่ 2 ธันวาคม
พ.ศ. 2553 ณ นครซูริก ประเทศสวิตเซอร์แลนด์ พร้อมกับการประกาศประเทศเจ้าภาพ ปี 2022"
87,กีฬาเอเชียนเกมส์ปี 2018 จัดขึ้นเป็นครั้งที่เท่าใด,ครั้งที่ 15,ครั้งที่ 16 ,ครั้งที่ 17,ครั้งที่ 18,4,กีฬาเอเซียนเกมส์ 2018 เป็นการแข่งขันกีฬาเอเซียนเกมส์ ครั้งที่ 18,ตอบ 4. กีฬาเอเซียนเกมส์ 2018 เป็นการแข่งขันกีฬาเอเซียนเกมส์ ครั้งที่ 18
88,กีฬาเอเชียนเกมส์ปี 2018 จัดขึ้นที่ประเทศใด,อินโดนีเซีย,อินเดีย,เวียดนาม,ดูไบ,1,"จัดขึ้นในระหว่างวันที่ 18 สิงหาคม- 2 กันยายน พ.ศ. 2561 โดยจาการ์ตาเมืองหลวงของประเทศอินโดนีเซีย
เป็นเจ้าภาพจัดการแข่งขันหลัก ในขณะที่ปาเลมบัง และบันดุง จะเป็นเมืองช่วยจัดการแข่งขัน","ตอบ 1. จัดขึ้นในระหว่างวันที่ 18 สิงหาคม- 2 กันยายน พ.ศ. 2561 โดยจาการ์ตาเมืองหลวงของประเทศอินโดนีเซีย
เป็นเจ้าภาพจัดการแข่งขันหลัก ในขณะที่ปาเลมบัง และบันดุง จะเป็นเมืองช่วยจัดการแข่งขัน"
89,กีฬาโอลิมปิกปี พ.ศ. 2559 จัดเป็นครั้งที่เท่าใด,ครั้งที่ 29 ,ครั้งที่ 30,ครั้งที่ 31,ครั้งที่ 32,3,"ครั้งที่ 31 มหกรรมกีฬาโอลิมปิกฤดูร้อนครั้งที่ 31 ประจำปี ค.ศ. 2016 (พ.ศ. 2559) เป็นกีฬาโอลิมปิกที่จะจัดขึ้นในปี
ค.ศ. 2016","ตอบ 3. ครั้งที่ 31 มหกรรมกีฬาโอลิมปิกฤดูร้อนครั้งที่ 31 ประจำปี ค.ศ. 2016 (พ.ศ. 2559) เป็นกีฬาโอลิมปิกที่จะจัดขึ้นในปี
ค.ศ. 2016"
90,กีฬาโอลิมปิกครั้งปัจจุบัน เมืองและประเทศได้เป็นเจ้าภาพจัดงาน,ซิคาโก สหรัฐอเมริกา,รีโอเดจาเนโร  บราซิล,โตเกียว ญี่ปุ่น,มาดริด สเปน,2,เมืองรีโอเดจาเนโร ประเทศบราซิล ได้รับเลือกเป็นเจ้าภาพการแงขัน,ตอบ 2. เมืองรีโอเดจาเนโร ประเทศบราซิล ได้รับเลือกเป็นเจ้าภาพการแงขัน
91,ผู้ฝึกสอนฟุตบอลทีมชาติไทยคนปัจจุบันชื่อว่าอย่างไร,ไบรอัน ร็อบสัน,วีนิเฟรด เชเฟอร์,เกียรติศักดิ์ เสนาเมือง,ปีเตอร์ รีด,3,"ร้อยตำรวจโท เกียรติศักดิ์ เสนาเมือง (ชื่อเล่น : โก้) เป็นอดีตนักฟุตบอลทีมชาติไทย ในตำแหน่งกองหน้า ปัจจุบัน
เป็นหัวหน้าผู้ฝึกสอนฟุตบอลทีมชาติไทย มีชื่อเล่นที่สื่อมวลชนสายกีฬาตั้งให้ว่า ซิโก้ ตาม่อของนักฟุตบอลชาวบราซิล
ที่มีชื่อเสียง อันมีที่มาจากชื่อเล่นของเขาเอง","ตอบ 3. ร้อยตำรวจโท เกียรติศักดิ์ เสนาเมือง (ชื่อเล่น : โก้) เป็นอดีตนักฟุตบอลทีมชาติไทย ในตำแหน่งกองหน้า ปัจจุบัน
เป็นหัวหน้าผู้ฝึกสอนฟุตบอลทีมชาติไทย มีชื่อเล่นที่สื่อมวลชนสายกีฬาตั้งให้ว่า ซิโก้ ตาม่อของนักฟุตบอลชาวบราซิล
ที่มีชื่อเสียง อันมีที่มาจากชื่อเล่นของเขาเอง"
92,ประเทศไทยเป็นเจ้าเหรียญทองครั้งแรกในกีฬาซีเกมส์นอกบ้านครั้งใด,ซีเกมส์ ครั้งที่ 20  บรูไน,ซีเกมส์ ครั้งที่ 19 จาการ์ตา,ซีเกมส์ ครั้งที่ 18 เชียงใหม่,ซีเกมส์ ครั้งที่ 17  สิงคโปร์,1,ซีเกมส์ ครั้งที่ 20 บรูไนเป็นเจ้าภาพ โดยประเทศไทยได้เหรียญไปทั้งหมดเหรียญทอง 65 เงิน 48 ทองแดง 56,ตอบ 1. ซีเกมส์ ครั้งที่ 20 บรูไนเป็นเจ้าภาพ โดยประเทศไทยได้เหรียญไปทั้งหมดเหรียญทอง 65 เงิน 48 ทองแดง 56
93,ฟุตบอลถ้วยเก่าแก่ที่สุดในโลกคือถ้วยอะไร,เอฟซีคัพ,โอลิมปิกคัพ,เอฟเอคัพ,ฟีฟ่าคัพ,3,"เอฟเอคัพ(อังกฤษ:FA Cup) เป็นการแข่งขันฟุตบอลถ้วยที่ใช้การแข่งขันแบบแพ้คัดออก(น็อกเอาต์) ซึ่งจัดการแข่งขัน
โดยสมาคมฟุตบอลอังกฤษ (เอฟเอ) เริ่มการแข่งขันเป็นครั้งแรก เมื่อ ค.ศ. 1872 ปัจจุบันมีสโมสรฟุตบอลเข้าร่วมทั้งสิ้น 762 ทีม
โดยสโมสรที่ชนะเลิศศุงสุดคืออาร์เซนอล จำนวน 12 ครั้ง
","ตอบ 3. เอฟเอคัพ(อังกฤษ:FA Cup) เป็นการแข่งขันฟุตบอลถ้วยที่ใช้การแข่งขันแบบแพ้คัดออก(น็อกเอาต์) ซึ่งจัดการแข่งขัน
โดยสมาคมฟุตบอลอังกฤษ (เอฟเอ) เริ่มการแข่งขันเป็นครั้งแรก เมื่อ ค.ศ. 1872 ปัจจุบันมีสโมสรฟุตบอลเข้าร่วมทั้งสิ้น 762 ทีม
โดยสโมสรที่ชนะเลิศศุงสุดคืออาร์เซนอล จำนวน 12 ครั้ง
"
94,นักกีฬาคนใดที่ทำเหรียญทองแรกให้กับประเทศไทยในการแข่งขันกีฬาโอลิมปิก,ปวีณา  ทองสุก,มนัส บุญจำนงค์,สมรักษ์  คำสิงห์,วิจารณ์  พลฤทธิ์,3,"นาวาตรี สมรักษ์ คำสิงห์ เป็นนักกีฬาทีมชาติไทยคนแรกที่ได้รับรางวัลเหรียญทอง จากการแข่งขันมวยสากลสมัครเล่น
ในกีฬาโอลิมปิก ครั้งที่ 26 ที่เมืองแอตแลนตา รัฐจอร์เจีย สหรัฐอเมริกา ในปี พ.ศ. 2539","ตอบ 3. นาวาตรี สมรักษ์ คำสิงห์ เป็นนักกีฬาทีมชาติไทยคนแรกที่ได้รับรางวัลเหรียญทอง จากการแข่งขันมวยสากลสมัครเล่น
ในกีฬาโอลิมปิก ครั้งที่ 26 ที่เมืองแอตแลนตา รัฐจอร์เจีย สหรัฐอเมริกา ในปี พ.ศ. 2539"
95,ฟุตบอลประเพณี จุฬา-ธรรมศาสตร์เริ่มแข่งขันครั้งแรกเมื่อปี พ.ศ. ใด,ปี พ.ศ. 2471,ปี พ.ศ. 2473,ปี พ.ศ. 2477,ปี พ. ศ. 2478,3,"งานฟุตบอลประเพณีจุฬาฯ-ธรรมศาสตร์ หรืองานฟุตบอลประเพณีธรรมศาสตร์-จุฬาฯ เป็นงานฟุตบอลประเพณี
ระหว่าง 2 มหาวิทยาลัย คือ จุฬาลงกรณ์มหวิทยาลัยกับมหาวิทยาลัยธรรมศาสตร์ จัดมาตั้งแต่ปี พ.ศ. 2477 แต่ละปีเอาชื่อ
มหาวิทยาลัยเจ้าภาพขึ้นก่อน","ตอบ 3. งานฟุตบอลประเพณีจุฬาฯ-ธรรมศาสตร์ หรืองานฟุตบอลประเพณีธรรมศาสตร์-จุฬาฯ เป็นงานฟุตบอลประเพณี
ระหว่าง 2 มหาวิทยาลัย คือ จุฬาลงกรณ์มหวิทยาลัยกับมหาวิทยาลัยธรรมศาสตร์ จัดมาตั้งแต่ปี พ.ศ. 2477 แต่ละปีเอาชื่อ
มหาวิทยาลัยเจ้าภาพขึ้นก่อน"
96,โรงเรียนกีฬาแห่งแรกของประเทศไทยอยู่ทีไหน,วิทยาลัยพลศึกษา สุพรรบุรี,โรงเรียนกีฬาเทศบาลนครปฐม,โรงเรียนกีฬาจังหวัดชลบุรี,โรงเรียนกีฬาจังหวัดลำปาง,1,"โรงเรียนกีฬาจังหวัดสุพรรณบุรีก่อตั้งขึ้นครั้งแรกเมื่อวันที่ 7 สิงหาคม 2533 โดยสังกัดสถาบันการพลศึกษา กระทรวง
การท่องเที่ยวและการกีฬา มีนายสมบัติ กุรุพันธ์ ดำรงตำแหน่งอาจารญ์ใหญ่เป็นคนแรก หากนับถึงปัจจุบัน มีอายุกว่า 26 ปี
และนับเป็นโรงเรียนกีฬาสมบูรณ์แบบแห่งแรกของไทย","ตอบ 1. โรงเรียนกีฬาจังหวัดสุพรรณบุรีก่อตั้งขึ้นครั้งแรกเมื่อวันที่ 7 สิงหาคม 2533 โดยสังกัดสถาบันการพลศึกษา กระทรวง
การท่องเที่ยวและการกีฬา มีนายสมบัติ กุรุพันธ์ ดำรงตำแหน่งอาจารญ์ใหญ่เป็นคนแรก หากนับถึงปัจจุบัน มีอายุกว่า 26 ปี
และนับเป็นโรงเรียนกีฬาสมบูรณ์แบบแห่งแรกของไทย"
97,ทีมใดเป็นแชมป์ไทยแลนด์ พรีเมียร์ลีก ปี 2015,สโมสรเมืองทองหนองจอกยูไนเต็ด,สโมสรบุรีรัมย์ พีอีเอ,สโมสร SCG เมืองทองยูไนเต็ด,สโมสรบุรีรัมย์ ยูไนเต็ด,4,สโมสรบุรีรัมย์ ยูไนเต็ด,ตอบ 4. สโมสรบุรีรัมย์ ยูไนเต็ด
98,ปัจจุบันบุคคบใดดำรงตำแหน่งนายกสมาคมกีฬาฟุตบอลแห่งประเทศไทยลำดับที่ 17 ,วรวีร์ มะกูดี,สมยศ พุ่มพันธุ์ม่วง,พิสัณห์  จุลดิลก,ธวัชชัย สัจจกุล,2,"สมยศ พุ่มพันธุ์ม่วง เพราะเมื่อวันที่ 11 ก.พ. 59 เววลา 13.15 น. ได้มีการประกาศผลการเลือกตั้งนายกสมาคมกีฬาฟุตบอล
แห่งประเทศไทยฯ โดย พล.ต.อ. สมยศ พุ่มพันธุ์ม่วง ชนะการเลือกตั้งไปด้วยคะแนน 62 เสียง จากเสียงทั้งหมด 68 เสียง ได้ดำรงตำแหน่งเป็นนายกสมาคมกีฬาฟุตบอลแห่งประเทศไทยฯ คนที่ 17 ของประเทศ","ตอบ 2. สมยศ พุ่มพันธุ์ม่วง เพราะเมื่อวันที่ 11 ก.พ. 59 เววลา 13.15 น. ได้มีการประกาศผลการเลือกตั้งนายกสมาคมกีฬาฟุตบอล
แห่งประเทศไทยฯ โดย พล.ต.อ. สมยศ พุ่มพันธุ์ม่วง ชนะการเลือกตั้งไปด้วยคะแนน 62 เสียง จากเสียงทั้งหมด 68 เสียง ได้ดำรงตำแหน่งเป็นนายกสมาคมกีฬาฟุตบอลแห่งประเทศไทยฯ คนที่ 17 ของประเทศ"
99,ใครเป็นนักฟุตบอลที่มีค่าตัวแพงที่สุดในโลก,Ricardo Kaka,Ziatan lbrahimovic,Careth Bale,Cristiano Ronaldo,3,Gareth Bale เหตุผลเพราะ Gareth Bale ย้ายจาก Tottenham Hotspur มา Real Madrid ด้วยค่าตัว 86 ล้านปอนด์,ตอบ 3. Gareth Bale เหตุผลเพราะ Gareth Bale ย้ายจาก Tottenham Hotspur มา Real Madrid ด้วยค่าตัว 86 ล้านปอนด์
100,"แพทย์ได้แนะนำคุณตา อายุ 78 ปี ว่าต้องออกกำลังกายอย่างสม่ำเสมอ และเหมาะสมกับวัย
แต่ข้อใดต่อไปนี้คือการออกกำลังที่ไม่เหมาะสมในกลุ่มผู้สูงอายุ",การเดิน,การวิ่งช้าๆ,การกระโดดสก๊อตจัมพ์,การรำมวยจีน,3,การกระโดดสก๊อตจัมพ์ถือเป็นอันตรายต่อสุขภาพของผู้ที่อยู่ในวัยชรา,ตอบ 3. การกระโดดสก๊อตจัมพ์ถือเป็นอันตรายต่อสุขภาพของผู้ที่อยู่ในวัยชรา
